price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed
9950,2012.0,chevrolet traverse,excellent,6.0,gas,119940.0,automatic,SUV,white,1.0,2018-09-14,88
14995,2008.0,chevrolet tahoe,like new,8.0,gas,142857.0,automatic,SUV,black,1.0,2018-05-27,18
6295,2010.0,ford taurus,excellent,6.0,gas,149109.0,automatic,sedan,yellow,,2018-12-21,58
6600,2010.0,kia soul,good,4.0,gas,111423.0,automatic,wagon,brown,,2018-08-19,52
6995,2008.0,volkswagen passat,like new,4.0,gas,101800.0,automatic,wagon,black,,2018-06-04,122
11995,2016.0,chevrolet malibu,excellent,4.0,gas,94999.0,automatic,sedan,blue,,2018-07-20,37
7995,2013.0,volkswagen passat,excellent,5.0,gas,81000.0,automatic,sedan,grey,,2019-03-09,41
7995,2013.0,kia sorento,excellent,6.0,gas,125402.0,automatic,SUV,grey,1.0,2019-02-12,62
22900,2015.0,ram 1500,good,8.0,gas,134360.0,automatic,truck,white,1.0,2018-09-21,16
11089,2015.0,chevrolet impala,excellent,6.0,gas,106127.0,automatic,sedan,red,,2018-07-23,62
8000,2008.0,ford f-250 super duty,salvage,8.0,diesel,334250.0,automatic,truck,white,1.0,2018-07-09,113
3000,2012.0,chevrolet equinox,good,4.0,gas,234000.0,automatic,SUV,silver,1.0,2018-08-27,13
21990,2012.0,ford f-150,excellent,8.0,gas,106171.0,automatic,truck,black,1.0,2018-08-16,23
3500,2009.0,volkswagen jetta,good,5.0,gas,170000.0,automatic,wagon,white,,2019-02-22,54
24900,2017.0,toyota tundra,like new,8.0,gas,37000.0,automatic,pickup,grey,,2018-10-03,32
17000,2011.0,chevrolet tahoe,excellent,8.0,gas,135000.0,automatic,SUV,grey,1.0,2018-07-06,63
16995,2014.0,ford f-150,excellent,6.0,gas,159025.0,automatic,pickup,white,1.0,2019-01-17,28
3000,2004.0,gmc yukon,good,,gas,229453.0,automatic,SUV,grey,1.0,2018-05-20,30
8995,2005.0,toyota tundra,good,8.0,gas,172000.0,automatic,pickup,red,1.0,2019-02-24,19
22980,,jeep wrangler unlimited,excellent,6.0,gas,72000.0,automatic,SUV,,1.0,2019-02-08,45
2950,2012.0,nissan altima,good,4.0,gas,170000.0,automatic,sedan,blue,,2018-08-19,25
1800,1997.0,ford f350,fair,8.0,diesel,112000.0,automatic,truck,,1.0,2018-10-25,32
5900,,nissan versa,excellent,4.0,gas,27.0,automatic,sedan,red,,2019-02-10,13
10990,2010.0,honda pilot,good,,gas,178983.0,automatic,SUV,,1.0,2019-03-06,26
6500,2011.0,honda civic,excellent,4.0,gas,70000.0,automatic,sedan,grey,,2018-07-27,36
5950,2013.0,ford taurus,good,6.0,gas,165000.0,automatic,sedan,white,,2019-03-17,71
22900,2017.0,chevrolet camaro lt coupe 2d,good,6.0,gas,,other,coupe,red,,2018-08-29,5
5495,2005.0,honda civic,like new,,gas,128019.0,automatic,sedan,grey,,2019-03-25,20
21995,2014.0,chevrolet silverado 1500,excellent,8.0,gas,123560.0,automatic,truck,white,1.0,2019-02-05,60
12,2018.0,nissan versa,new,4.0,gas,,automatic,sedan,silver,,2019-03-26,24
9995,2003.0,toyota tacoma,like new,4.0,gas,,manual,pickup,red,,2018-05-24,16
27990,2019.0,chevrolet silverado 1500,excellent,8.0,gas,43000.0,automatic,truck,red,1.0,2019-03-04,40
5800,2011.0,toyota prius,excellent,4.0,gas,140520.0,automatic,hatchback,silver,,2019-01-11,23
36900,2014.0,ford f-150,good,8.0,gas,71417.0,automatic,truck,black,1.0,2019-01-02,14
10500,2008.0,chevrolet silverado,excellent,,gas,,automatic,truck,black,,2019-01-14,58
7000,1996.0,ford f250,good,8.0,diesel,30000.0,automatic,pickup,grey,1.0,2018-05-31,28
22500,2018.0,nissan frontier crew cab sv,good,6.0,gas,,other,pickup,white,1.0,2018-06-17,39
23999,2017.0,ram 1500,excellent,8.0,gas,64000.0,automatic,pickup,blue,1.0,2018-12-17,18
28250,2017.0,chevrolet silverado 1500,excellent,8.0,gas,13808.0,automatic,truck,white,1.0,2018-08-17,11
21800,2018.0,nissan frontier crew cab sv,good,6.0,gas,11745.0,other,pickup,white,,2018-12-13,88
3500,2003.0,toyota highlander,good,6.0,gas,,automatic,SUV,green,,2019-02-03,27
10995,2003.0,ram 2500,excellent,,diesel,143000.0,automatic,pickup,white,1.0,2018-05-06,22
8800,2014.0,jeep cherokee,excellent,3.0,gas,,automatic,SUV,,,2019-04-04,67
6950,2012.0,ford fusion,excellent,6.0,gas,120730.0,automatic,sedan,red,,2018-05-18,26
20200,2018.0,nissan frontier crew cab sv,good,6.0,gas,49596.0,other,pickup,black,1.0,2018-10-13,56
8995,2011.0,toyota rav4,excellent,,gas,129000.0,automatic,SUV,brown,1.0,2018-10-06,112
10588,,nissan maxima,good,6.0,gas,102300.0,automatic,sedan,silver,,2018-05-28,12
22900,2019.0,nissan frontier crew cab sv,good,6.0,gas,24402.0,other,pickup,blue,1.0,2019-01-06,17
8000,2007.0,chevrolet silverado 1500,excellent,,gas,167000.0,automatic,truck,grey,1.0,2018-06-03,11
8000,1996.0,jeep wrangler,good,6.0,gas,164900.0,manual,SUV,red,1.0,2018-12-15,55
5495,2013.0,ford focus,good,4.0,gas,128550.0,automatic,sedan,silver,,2019-01-16,36
9950,2016.0,nissan versa,excellent,4.0,gas,13607.0,automatic,sedan,grey,,2018-10-14,17
18500,2013.0,chevrolet silverado 1500,excellent,8.0,gas,130000.0,automatic,truck,red,1.0,2018-12-05,84
28500,2009.0,chevrolet silverado,excellent,8.0,diesel,167702.0,automatic,truck,silver,1.0,2019-01-30,57
19900,2014.0,chevrolet silverado 1500,excellent,6.0,gas,0.0,automatic,truck,custom,,2018-07-12,28
12995,2013.0,subaru impreza,excellent,,gas,62485.0,automatic,sedan,blue,,2018-07-10,24
3300,2003.0,ram 1500,good,,gas,,automatic,pickup,blue,,2018-11-25,17
3450,2007.0,ford mustang,good,6.0,gas,,manual,coupe,red,,2018-05-29,42
21100,2017.0,chevrolet camaro lt coupe 2d,good,6.0,gas,20092.0,other,coupe,black,,2018-12-09,5
21995,2015.0,ford f150,excellent,6.0,gas,100580.0,automatic,pickup,,1.0,2018-10-16,71
5493,,toyota camry,good,6.0,gas,153925.0,automatic,sedan,grey,,2018-12-08,62
5900,2014.0,kia soul,excellent,,gas,117473.0,automatic,wagon,green,,2018-07-10,85
31990,2014.0,ram 3500,excellent,6.0,diesel,112320.0,automatic,other,orange,1.0,2019-01-16,32
11499,2017.0,chevrolet equinox,like new,4.0,gas,54772.0,automatic,SUV,grey,1.0,2019-01-12,36
5990,2007.0,jeep liberty,good,6.0,gas,141450.0,automatic,SUV,,1.0,2018-11-18,4
15995,2016.0,nissan rogue,excellent,4.0,gas,32344.0,automatic,wagon,silver,1.0,2018-05-20,39
18500,2017.0,subaru outback,good,4.0,gas,44000.0,automatic,wagon,grey,1.0,2018-07-15,96
24990,2006.0,ford f-350 sd,good,8.0,gas,65603.0,automatic,truck,red,1.0,2018-10-20,36
10400,2007.0,cadillac escalade,good,8.0,gas,113015.0,automatic,SUV,white,1.0,2018-11-25,50
9995,2016.0,toyota corolla,excellent,,gas,140775.0,automatic,sedan,red,,2019-02-17,113
9900,2011.0,chevrolet silverado 2500hd,good,8.0,gas,,automatic,pickup,silver,1.0,2018-08-03,64
5600,2008.0,hyundai elantra,good,4.0,gas,98600.0,automatic,sedan,grey,,2018-09-10,20
9999,2012.0,chevrolet malibu,good,6.0,gas,,automatic,sedan,red,,2018-07-13,32
12995,2012.0,chevrolet camaro,excellent,6.0,gas,128000.0,manual,coupe,white,,2018-09-29,39
14500,1999.0,ram 2500,good,6.0,diesel,150000.0,automatic,truck,silver,1.0,2018-09-27,27
8900,2009.0,chevrolet silverado,good,8.0,gas,,automatic,pickup,white,,2018-06-14,84
33995,2014.0,jeep grand cherokee,good,8.0,gas,90753.0,automatic,SUV,grey,1.0,2019-03-11,13
4500,1977.0,chevrolet silverado,good,8.0,diesel,,automatic,pickup,,1.0,2018-06-30,32
5499,2007.0,honda pilot,excellent,6.0,gas,,automatic,SUV,,,2019-01-31,7
18995,2011.0,ram 1500,excellent,8.0,gas,116900.0,automatic,pickup,blue,1.0,2019-03-09,62
4500,2002.0,honda accord,excellent,,gas,114000.0,automatic,sedan,black,,2019-01-19,6
12900,,jeep cherokee,excellent,4.0,gas,121571.0,automatic,SUV,black,1.0,2018-07-23,64
3200,2000.0,jeep grand cherokee,good,8.0,gas,126000.0,automatic,SUV,black,,2019-01-21,66
16000,2004.0,ram 3500,excellent,6.0,diesel,225479.0,automatic,truck,red,1.0,2018-11-23,46
4910,2010.0,ford focus se,excellent,4.0,gas,191375.0,automatic,sedan,red,,2018-05-31,53
20990,2006.0,ram 3500,excellent,6.0,diesel,211605.0,automatic,truck,red,1.0,2018-08-20,46
12900,2011.0,chevrolet silverado 1500,excellent,8.0,gas,,automatic,truck,white,1.0,2018-07-01,77
5995,2006.0,honda odyssey,excellent,6.0,gas,,automatic,van,red,,2019-04-10,33
7900,,ford f150,excellent,8.0,gas,,automatic,pickup,,1.0,2018-06-05,9
7995,2001.0,ford f150,like new,6.0,gas,108708.0,automatic,pickup,,,2018-09-03,36
1000,2001.0,ford taurus,good,4.0,gas,201000.0,automatic,other,white,,2018-10-10,17
29900,2018.0,ford mustang gt coupe 2d,good,8.0,gas,3827.0,automatic,coupe,yellow,,2019-04-07,33
10000,,ford f-150,good,8.0,gas,208000.0,automatic,pickup,black,1.0,2018-07-30,31
9473,2010.0,honda odyssey,excellent,6.0,gas,,automatic,mini-van,silver,,2018-08-18,37
16990,2014.0,ford expedition,excellent,8.0,gas,,automatic,SUV,black,,2019-04-08,45
22900,2019.0,nissan frontier crew cab sv,good,,gas,24402.0,other,pickup,blue,1.0,2019-02-09,24
13900,2014.0,ford expedition,good,8.0,gas,159791.0,automatic,SUV,black,1.0,2018-11-06,38
9428,2013.0,chevrolet malibu,excellent,4.0,gas,98342.0,automatic,sedan,,,2019-01-31,28
120000,2006.0,chevrolet silverado 1500,good,8.0,gas,136000.0,automatic,truck,blue,1.0,2018-05-22,27
76995,2018.0,cadillac escalade,excellent,8.0,gas,4500.0,other,SUV,white,1.0,2018-10-25,21
23900,,chevrolet silverado 2500hd,good,,diesel,166053.0,automatic,truck,silver,1.0,2018-08-31,47
6995,2007.0,ford mustang,excellent,6.0,gas,130000.0,automatic,coupe,red,,2018-11-05,37
19998,2016.0,ram 1500,excellent,8.0,gas,71000.0,automatic,pickup,white,1.0,2019-04-09,91
2495,1998.0,dodge dakota,good,6.0,gas,126800.0,automatic,truck,green,1.0,2018-09-03,59
13657,2014.0,nissan frontier,excellent,6.0,gas,78078.0,automatic,truck,silver,,2018-06-23,50
7200,2007.0,chevrolet tahoe,excellent,,gas,132650.0,automatic,SUV,brown,,2018-07-16,52
17500,2010.0,ford f350 super duty,excellent,8.0,gas,94000.0,automatic,truck,blue,1.0,2018-05-30,17
3500,,jeep grand cherokee,good,6.0,gas,143000.0,manual,truck,green,1.0,2018-08-19,87
9950,2013.0,chrysler 300,good,6.0,gas,169261.0,automatic,sedan,black,,2018-11-02,77
4250,2005.0,honda accord,excellent,6.0,gas,183163.0,automatic,sedan,red,,2018-10-20,11
14990,2007.0,toyota tacoma,good,6.0,gas,165757.0,automatic,truck,,,2019-02-05,13
9999,2016.0,chevrolet equinox,good,4.0,gas,50836.0,automatic,SUV,grey,,2018-11-19,27
4500,,acura tl,good,6.0,gas,148180.0,automatic,sedan,white,,2018-07-13,103
2500,2005.0,jeep grand cherokee laredo,good,6.0,gas,135000.0,automatic,SUV,brown,1.0,2018-08-04,30
6995,2014.0,hyundai elantra,excellent,4.0,gas,,manual,sedan,blue,,2018-10-13,20
6500,2006.0,ford f250 super duty,good,8.0,diesel,246250.0,automatic,truck,white,,2018-09-27,45
7500,2006.0,ford f-150,good,8.0,gas,116000.0,automatic,truck,grey,,2018-08-27,33
8000,2013.0,chevrolet tahoe,excellent,8.0,gas,192000.0,automatic,SUV,,,2018-07-11,87
26900,,chevrolet silverado 1500 crew,good,8.0,gas,68607.0,automatic,pickup,black,1.0,2018-12-29,75
23500,2003.0,ram 3500,good,6.0,diesel,123000.0,manual,truck,white,1.0,2018-11-23,30
5995,2005.0,chevrolet colorado,good,,gas,152830.0,automatic,truck,white,,2018-11-09,10
5000,2012.0,ford focus,excellent,4.0,gas,150753.0,automatic,sedan,grey,,2018-06-01,31
25500,2017.0,chevrolet silverado 1500,like new,8.0,gas,6000.0,automatic,truck,red,1.0,2019-03-25,103
17000,2018.0,chevrolet equinox,excellent,4.0,gas,30802.0,automatic,SUV,grey,1.0,2018-08-20,47
4985,2003.0,ford ranger,good,6.0,gas,185152.0,automatic,truck,white,1.0,2019-01-14,44
24990,2006.0,ford f-350 sd,good,8.0,gas,65603.0,automatic,truck,red,1.0,2018-07-18,68
1200,1997.0,ford f-150,good,6.0,gas,164000.0,manual,truck,red,,2018-05-10,6
20900,,ford f-150,excellent,,gas,53209.0,automatic,pickup,,1.0,2018-08-04,87
13000,2012.0,ford mustang,good,8.0,gas,69000.0,automatic,coupe,black,,2018-07-04,16
9995,2005.0,ram 1500,excellent,8.0,gas,152315.0,automatic,pickup,black,,2019-01-09,66
4950,2005.0,chevrolet suburban,good,8.0,gas,235670.0,automatic,SUV,blue,1.0,2018-07-03,157
5000,,toyota highlander,excellent,,gas,,automatic,SUV,blue,,2018-06-27,14
10995,2010.0,gmc acadia,like new,6.0,gas,145561.0,automatic,SUV,white,,2018-11-01,33
18200,2011.0,chevrolet silverado 1500,excellent,8.0,gas,90800.0,automatic,pickup,grey,1.0,2018-05-23,32
1495,2004.0,ford taurus,good,6.0,gas,125023.0,manual,sedan,grey,,2019-03-07,14
4600,2012.0,chevrolet cruze,excellent,4.0,gas,126000.0,automatic,sedan,red,,2018-05-05,36
4500,1998.0,jeep cherokee,good,8.0,gas,207.0,automatic,SUV,white,1.0,2018-07-26,64
7500,1998.0,gmc sierra,excellent,8.0,gas,,automatic,truck,red,1.0,2019-04-16,30
2000,2004.0,nissan altima,salvage,4.0,gas,130235.0,automatic,sedan,,,2018-07-06,106
2000,2008.0,ford f-150,fair,8.0,gas,183000.0,automatic,truck,blue,,2019-03-13,18
18990,2015.0,ford f-250 sd,good,8.0,gas,134794.0,automatic,truck,blue,1.0,2018-10-01,10
9500,1989.0,chevrolet corvette,good,8.0,gas,64000.0,automatic,coupe,blue,,2018-07-12,89
34000,,chevrolet silverado 1500,like new,6.0,gas,21500.0,automatic,pickup,silver,1.0,2018-09-02,28
3000,1995.0,chevrolet silverado,good,8.0,gas,189000.0,automatic,truck,green,1.0,2019-03-06,37
5995,2007.0,ford fusion,excellent,,gas,88977.0,manual,sedan,silver,,2019-03-27,66
4995,2013.0,ford focus,excellent,,gas,129000.0,automatic,hatchback,red,,2019-03-23,39
27995,2017.0,chevrolet silverado 1500,excellent,8.0,gas,72965.0,automatic,truck,black,1.0,2018-07-23,42
7995,2009.0,chevrolet silverado 2500hd,excellent,,gas,175640.0,automatic,truck,white,1.0,2018-12-18,32
17000,2012.0,toyota 4runner,excellent,6.0,gas,154000.0,automatic,SUV,white,1.0,2018-12-23,22
19000,2015.0,nissan frontier crew cab sv,good,6.0,gas,43707.0,other,pickup,red,,2018-05-21,11
15800,2015.0,subaru forester,good,4.0,gas,31000.0,automatic,SUV,blue,1.0,2018-06-22,26
14500,2015.0,honda civic,like new,4.0,gas,,manual,coupe,,,2018-11-17,10
8499,,nissan rogue,excellent,4.0,gas,123360.0,automatic,wagon,blue,1.0,2019-03-28,28
25350,2014.0,jeep wrangler unlimited,excellent,6.0,gas,55500.0,automatic,wagon,,1.0,2018-09-14,70
26500,2017.0,chevrolet silverado 1500,excellent,6.0,gas,28000.0,automatic,pickup,,1.0,2018-08-05,48
1800,,chevrolet cruze,excellent,4.0,gas,79643.0,automatic,sedan,blue,,2018-07-07,29
3499,2008.0,nissan altima,like new,4.0,gas,144884.0,automatic,sedan,silver,,2018-05-25,89
6500,2010.0,kia soul,good,4.0,gas,100259.0,automatic,wagon,,,2019-01-20,31
5900,2015.0,hyundai elantra,good,,gas,0.0,automatic,sedan,red,,2018-10-19,30
15988,2012.0,bmw x5,good,6.0,diesel,78939.0,automatic,SUV,grey,1.0,2018-05-29,62
9700,2004.0,chevrolet silverado 2500hd,excellent,8.0,gas,147888.0,automatic,truck,blue,1.0,2018-09-21,27
24100,2019.0,chevrolet camaro lt coupe 2d,good,6.0,gas,18755.0,other,coupe,,,2019-03-25,117
2500,2007.0,jeep grand cherokee,good,8.0,gas,180000.0,automatic,SUV,blue,1.0,2018-09-04,54
4750,2012.0,ford escape,good,,gas,212136.0,automatic,SUV,grey,,2019-02-15,22
5588,2004.0,toyota highlander,good,4.0,gas,112680.0,automatic,SUV,silver,,2018-10-15,6
11900,,ford f-150,excellent,8.0,gas,73000.0,automatic,truck,custom,1.0,2018-09-12,22
3000,2004.0,honda accord,good,4.0,gas,,automatic,sedan,silver,,2018-11-01,24
25490,2016.0,ram 1500,excellent,8.0,gas,95272.0,automatic,truck,white,1.0,2018-07-15,24
9995,2011.0,toyota tacoma,good,4.0,gas,161000.0,automatic,truck,red,1.0,2018-07-07,60
17490,2016.0,ford econoline,good,10.0,gas,,automatic,truck,,,2018-08-16,87
6000,2010.0,dodge charger,excellent,8.0,gas,,automatic,sedan,white,,2019-03-13,55
1800,1998.0,ford f150,good,6.0,gas,,automatic,truck,red,,2018-09-02,73
28934,2016.0,ram 1500,excellent,8.0,gas,34577.0,automatic,truck,black,1.0,2018-06-12,29
25975,2017.0,ford explorer,good,6.0,gas,29735.0,automatic,SUV,white,,2018-11-05,15
7495,2013.0,chevrolet equinox,good,4.0,gas,88200.0,automatic,SUV,black,,2018-05-21,11
8999,2007.0,ford mustang,excellent,6.0,gas,56450.0,automatic,convertible,red,,2018-09-21,90
4500,2004.0,chevrolet suburban,like new,8.0,gas,212000.0,automatic,truck,grey,1.0,2018-12-26,29
10400,2005.0,chevrolet colorado,excellent,5.0,gas,,automatic,truck,silver,1.0,2019-03-19,25
11295,2014.0,nissan altima,good,4.0,gas,83383.0,automatic,other,brown,,2018-12-30,35
3670,2001.0,ford ranger,good,6.0,gas,109151.0,automatic,truck,custom,,2018-12-05,19
6700,1995.0,ram 2500,good,,diesel,265.0,manual,truck,,1.0,2018-08-19,35
4995,2005.0,chrysler 300,good,8.0,gas,217167.0,automatic,sedan,green,,2019-01-23,24
7488,2014.0,kia soul,good,4.0,gas,,automatic,SUV,brown,,2019-03-06,37
1500,1998.0,jeep cherokee,good,6.0,gas,,automatic,SUV,green,,2018-08-20,55
7900,2013.0,chevrolet malibu,good,4.0,gas,,automatic,sedan,silver,,2019-02-17,66
20500,1970.0,chevrolet malibu,excellent,8.0,gas,,automatic,sedan,yellow,,2018-10-02,52
34985,2017.0,ram 3500,excellent,6.0,diesel,70609.0,automatic,pickup,white,1.0,2019-02-26,5
15988,2013.0,ford f-150,like new,,gas,125220.0,automatic,truck,white,1.0,2018-07-16,60
19870,2015.0,chevrolet silverado 2500hd,good,8.0,gas,123321.0,automatic,pickup,white,1.0,2019-01-01,12
1,2016.0,jeep wrangler,excellent,6.0,gas,47683.0,automatic,SUV,red,1.0,2018-09-02,7
11900,2007.0,ford f-150,excellent,,gas,73000.0,automatic,truck,,1.0,2019-01-30,52
3499,2006.0,chrysler town & country,good,6.0,gas,163563.0,automatic,mini-van,white,,2018-05-06,16
5500,2012.0,honda civic lx,excellent,4.0,gas,154700.0,automatic,sedan,,,2018-08-01,55
9995,2012.0,ram 1500,excellent,,gas,,automatic,truck,white,1.0,2018-10-27,42
4987,2005.0,chevrolet colorado,good,5.0,gas,206838.0,automatic,truck,silver,1.0,2018-05-31,50
17000,2017.0,ram 1500,excellent,6.0,gas,11300.0,automatic,pickup,green,,2018-08-28,60
475,2018.0,gmc sierra 1500,like new,8.0,gas,6500.0,automatic,truck,black,1.0,2018-07-10,18
15000,2015.0,ram 1500,good,8.0,gas,97000.0,automatic,pickup,blue,,2018-10-19,50
9000,2012.0,dodge charger,good,8.0,gas,93500.0,automatic,sedan,black,,2018-06-17,9
6350,2004.0,ford f150,good,8.0,gas,194000.0,automatic,truck,,1.0,2018-06-20,41
3850,2008.0,volkswagen jetta,good,5.0,gas,159000.0,automatic,sedan,white,,2018-05-29,36
9950,,bmw x5,excellent,6.0,gas,,automatic,SUV,silver,1.0,2018-07-05,8
11000,2016.0,toyota corolla,new,4.0,gas,50.0,automatic,sedan,,,2018-09-17,67
17000,2003.0,chevrolet corvette,excellent,8.0,gas,,manual,coupe,black,,2019-02-05,55
15995,2016.0,ford edge,good,4.0,gas,65809.0,automatic,SUV,blue,,2018-10-14,27
8799,2011.0,gmc sierra 1500,excellent,8.0,gas,168914.0,automatic,pickup,black,1.0,2018-06-18,52
21999,,ford f-150,like new,,gas,97000.0,automatic,truck,,1.0,2019-01-19,60
14986,,jeep grand cherokee laredo,excellent,6.0,hybrid,62004.0,automatic,SUV,,,2018-11-19,34
27995,,chevrolet silverado 1500,excellent,8.0,gas,61300.0,automatic,truck,blue,1.0,2018-07-05,63
19000,2011.0,chevrolet silverado,excellent,,diesel,170000.0,automatic,pickup,,1.0,2019-01-17,88
4995,2007.0,ford focus,good,4.0,gas,,automatic,sedan,silver,,2018-06-03,20
21900,2013.0,chevrolet silverado 1500 crew,good,8.0,other,73779.0,other,pickup,red,1.0,2018-12-27,12
14588,2013.0,ford explorer,good,6.0,gas,153445.0,automatic,SUV,white,1.0,2018-07-26,60
9700,2004.0,chevrolet silverado 2500hd,excellent,8.0,gas,147888.0,automatic,truck,blue,1.0,2018-05-20,49
23900,2012.0,ford f-150,excellent,8.0,gas,71665.0,automatic,pickup,,1.0,2018-06-21,106
22995,,ram 2500,excellent,,diesel,186568.0,automatic,truck,silver,1.0,2018-09-30,110
9500,2004.0,ram 1500,excellent,8.0,gas,152000.0,automatic,truck,,1.0,2018-09-12,59
17999,2008.0,ram 2500,good,6.0,diesel,184548.0,automatic,pickup,,1.0,2019-03-22,87
1,2017.0,honda accord,excellent,10.0,gas,17760.0,automatic,coupe,black,1.0,2018-10-03,38
10860,2003.0,toyota tundra,good,8.0,gas,95587.0,automatic,truck,,,2018-11-25,89
28995,2006.0,ram 3500,good,6.0,gas,105532.0,other,truck,red,1.0,2018-09-06,58
8995,2013.0,dodge charger,good,6.0,gas,99766.0,automatic,sedan,,,2018-07-21,75
13995,2013.0,jeep grand cherokee,good,6.0,gas,116875.0,automatic,SUV,white,1.0,2019-03-11,60
13990,2006.0,ford f-350 sd,good,8.0,diesel,205944.0,automatic,truck,white,,2019-02-07,61
3600,2010.0,ford focus,good,4.0,gas,138480.0,automatic,sedan,grey,,2018-08-05,19
4299,2008.0,subaru outback,excellent,4.0,gas,112000.0,automatic,SUV,blue,1.0,2018-06-06,62
4000,2000.0,chevrolet tahoe,excellent,8.0,gas,158000.0,automatic,SUV,red,1.0,2019-04-18,22
22000,2011.0,toyota tacoma,excellent,6.0,gas,68500.0,automatic,truck,silver,1.0,2018-11-03,42
6499,2010.0,ford escape,excellent,4.0,gas,96311.0,automatic,SUV,white,,2018-05-05,58
37995,2019.0,jeep wrangler,good,6.0,gas,33469.0,automatic,SUV,white,1.0,2019-02-22,15
24100,2013.0,chevrolet silverado 1500 crew,good,8.0,gas,55315.0,other,pickup,white,1.0,2018-09-24,26
19950,2014.0,chevrolet silverado 1500,good,8.0,gas,,automatic,truck,black,1.0,2018-06-15,67
6995,2014.0,ford focus se,like new,4.0,gas,72920.0,automatic,sedan,,1.0,2018-09-28,62
